,precision,recall,f1-score,support
0,0.5224751897256276,0.9728260869565217,0.6798328902392708,11040.0
1,0.9682371625198518,0.48230578555983333,0.6438780539322678,18961.0
accuracy,0.6628112396253458,0.6628112396253458,0.6628112396253458,0.6628112396253458
macro avg,0.7453561761227396,0.7275659362581776,0.6618554720857693,30001.0
weighted avg,0.8042022243628493,0.6628112396253458,0.657108992661954,30001.0
