epoch,train_loss,train_acc,val_acc,is_best,time_sec
1,0.1183970517887305,0.9516024340770792,0.8810588132176352,True,2320.144591331482
2,0.0513113144904556,0.9817038539553752,0.8951704794460513,True,3267.9603595733643
3,0.0393572783857039,0.9864503042596348,0.9091506705232713,True,1390.284467458725
4,0.0324876913313449,0.9886004056795132,0.8715487772810939,False,1909.8796963691711
5,0.030091291047013,0.9898478701825558,0.8976246822683847,False,1438.7189581394196
6,0.0274260826115675,0.9912677484787018,0.8944692786396704,False,1849.428825378418
7,0.0237920278866924,0.992129817444219,0.8750986063633973,False,1782.3052124977112
8,0.0230565303092554,0.9928194726166328,0.8716364273818915,False,1365.5161819458008
9,0.0215776080558072,0.9933367139959433,0.8667718467876238,False,1362.3217453956604
10,0.0193860855269383,0.9938539553752536,0.8847401174511351,False,1358.6845474243164
