Metric,Value
Accuracy,0.6628112396253458
Precision,0.9682371625198518
Recall,0.48230578555983333
F1 Score,0.6438780539322678
Specificity,0.9728260869565217
Sensitivity,0.48230578555983333
ROC AUC,0.8583891162179575
