epoch,train_loss,train_acc,val_acc,is_best,time_sec
1,0.1183970517887305,0.9516024340770791,0.8810588132176352,True,2320.144591331482
2,0.051311314490455645,0.9817038539553753,0.8951704794460513,True,3267.9603595733643
3,0.03935727838570399,0.9864503042596349,0.9091506705232711,True,1390.284467458725
4,0.03248769133134498,0.9886004056795132,0.8715487772810939,False,1909.8796963691711
5,0.030091291047013073,0.9898478701825558,0.8976246822683847,False,1438.7189581394196
6,0.027426082611567593,0.9912677484787018,0.8944692786396704,False,1849.428825378418
7,0.023792027886692456,0.992129817444219,0.8750986063633973,False,1782.3052124977112
8,0.02305653030925542,0.9928194726166328,0.8716364273818915,False,1365.5161819458008
9,0.021577608055807274,0.9933367139959433,0.8667718467876238,False,1362.3217453956604
10,0.019386085526938372,0.9938539553752536,0.8847401174511351,False,1358.6845474243164
